,Drenaje,variedad,tratSemilla,tipLab,ano,deshierbe,escarda,rastraprebarbecho,subsoleocinceleopiqueoescarificado,barbecho,rastreo,nivelacion,trazosurci,reformacioncamassurcos,monocultivo,preparacionsueloherbicida,fertilizacionquimicasuelo,fertilizacionquimicafoliar,usobiofertilizantes,usomejoradores,controlquimicomalezasdespuessiembra,insecticida,fungicida,CE,n,p,k,Arcillapr,Limoprc,Arenaprc,PH,MO,CIC,SBprc,TXAvg,TMAvg,TAvg,DRAvg,RSAvg,RSAccu,TX34Freq,PAccu,P10Freq,TM8Freq,RHAvg,RHsd,rendimiento
7960_1,D4,CRIOLLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,184,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.15251397,17.97486034,24.06368715,12.17765363,377.0034277,67483.61356,0.005586592,2383.4,0.407821229,0,74.67284916,9.476959477,4
8532_1,D4,CRIOLLO,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.18402367,17.61242604,23.89822485,12.57159763,383.8432163,64869.50356,0.00591716,1896,0.343195266,0,73.78715976,9.741766193,2
8533_1,D4,CRIOLLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,1,115,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.19643846,18.10325086,24.14984466,12.0931876,379.0764571,68233.76227,0.005555556,2508.8,0.433333333,0,74.91444419,9.273234038,3.5
12488_1,D4,CRIOLLO,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,50.3647,0.08,0.06,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,28.03306895,18.47178513,23.25242704,9.561283824,271.8473355,48932.52038,0,1550.2,0.283333333,0,82.68842678,4.128907276,2.2
15085_1,D4,CRIOLLO,S0,LabConvTra,2012,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,24,24,24,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,30.55692308,17.18205128,23.86948718,13.37487179,351.2940937,68502.34827,0.030769231,402.4,0.061538462,0,77.97933333,7.194503419,4
46469_1,D4,CRIOLLO,S1,LabCeroMin,2014,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,92,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,27.68028235,18.69902315,23.18965275,8.981259198,319.2435075,48205.76964,0,1501.8,0.238410596,0,88.25325139,6.985407924,0.9
46470_1,D4,CRIOLLO,S1,LabCeroMin,2014,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,3,0,1,161,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,27.68028235,18.69902315,23.18965275,8.981259198,319.2435075,48205.76964,0,1501.8,0.238410596,0,88.25325139,6.985407924,1.5
46472_1,D4,CRIOLLO,S0,LabCeroMin,2014,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,3,0,1,193,23,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,27.46942761,18.55895425,23.01419093,8.910473355,319.5321067,59752.50396,0,2005.4,0.245989305,0,88.11036962,6.712825248,1.3
97237_1,D4,CRIOLLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,63,17,17,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,25.28333333,14.91282051,20.09807692,10.37051282,482.8380128,75322.73,0,607.3,0.102564103,0,82.99596154,5.187780155,3
100578_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,1,2,1,0,0,1,1,0,1,184,0.225,0.24,29,18,55,6.678875,0.967090278,16.73567361,84.83472222,24.95469613,14.30883978,19.63176796,10.64585635,476.5665746,86258.55,0,552.1,0.082872928,0,82.62364641,5.023691313,3.7
100661_1,D3,CRIOLLO,S1,LabCeroMin,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,138,0,0,5,12,62,5.961770833,0.266354167,4.31,75.955,30.01482353,19.83329412,24.92405882,10.18152941,409.4730588,69610.42,0.017647059,296.86,0.058823529,0,80.07676471,4.27201276,3.5
100689_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,1,2,1,0,0,1,1,0,1,138,0.225,0.24,29,18,55,6.678875,0.967090278,16.73567361,84.83472222,24.89367816,14.23965517,19.56666667,10.65402299,477.4622989,83078.44,0,544.7,0.086206897,0,82.63114943,5.096197024,2.9
100694_1,D3,CRIOLLO,S1,LabConvTra,2016,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,1,0,1,161,0,0,5,12,62,5.961770833,0.266354167,4.31,75.955,30.10460526,20.12368421,25.11414474,9.980921053,414.5745395,63015.33,0.019736842,272.86,0.059210526,0,80.39756579,4.265855348,3.5
100739_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1,0,1,92,0,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,24.9091954,14.29770115,19.60344828,10.61149425,477.0706322,83010.29,0,544.7,0.086206897,0,82.67931034,5.073583471,2.1
100768_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,1,0,1,138,0,0,29,18,55,6.678875,0.967090278,16.73567361,84.83472222,24.88024691,14.12469136,19.50246914,10.75555556,477.6180247,77374.12,0,492.6,0.080246914,0,82.58969136,5.170784078,2.3
100793_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1,0,1,138,0,0,29,18,55,6.678875,0.967090278,16.73567361,84.83472222,24.93920455,14.26306818,19.60113636,10.67613636,477.4839205,84037.17,0,546,0.085227273,0,82.62625,5.086692063,2.4
100969_1,D2,CRIOLLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,115,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.33381643,14.51497585,19.92439614,10.81884058,474.2357005,98166.79,0,724.5,0.101449275,0,82.27922705,5.375858963,1.8
100973_1,D2,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,115,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.89542857,14.23142857,19.56342857,10.664,477.8057714,83616.01,0,544.7,0.085714286,0,82.60754286,5.09111839,1.8
100977_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,115,0,0,36,22,40,7.721085641,4.615736459,38.17437609,89.12754397,25.25485437,14.47912621,19.86699029,10.77572816,474.1124272,97667.16,0,702.3,0.097087379,0,82.35597087,5.280153987,1.8
100996_1,D3,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,115,0,0,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,25.25625,14.6921875,19.97421875,10.5640625,474.1798438,91042.53,0,702.3,0.104166667,0,82.63421875,5.298156097,1.8
101001_1,D3,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,115,0,0,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,25.18,14.56461538,19.87230769,10.61538462,473.8653333,92403.74,0,688.4,0.097435897,0,82.59030769,5.248253996,1.8
107478_1,D4,CRIOLLO,S1,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.60375,14.56791667,20.08583333,11.03583333,474.6822083,113923.73,0,788.5,0.095833333,0,81.52658333,6.012772667,1.5
107479_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.66761134,14.58016194,20.12388664,11.08744939,474.5935223,117224.6,0,826.7,0.101214575,0,81.51246964,5.930215654,1.5
107480_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.60375,14.56791667,20.08583333,11.03583333,474.6822083,113923.73,0,788.5,0.095833333,0,81.52658333,6.012772667,1.5
107483_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.60375,14.56791667,20.08583333,11.03583333,474.6822083,113923.73,0,788.5,0.095833333,0,81.52658333,6.012772667,1.5
107485_1,D3,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,25.68,14.57632653,20.12816327,11.10367347,474.4218776,116233.36,0,826.7,0.102040816,0,81.52159184,5.95357183,1.5
107486_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.68,14.57632653,20.12816327,11.10367347,474.4218776,116233.36,0,826.7,0.102040816,0,81.52159184,5.95357183,1.5
107487_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.68,14.57632653,20.12816327,11.10367347,474.4218776,116233.36,0,826.7,0.102040816,0,81.52159184,5.95357183,1.5
107488_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.60375,14.56791667,20.08583333,11.03583333,474.6822083,113923.73,0,788.5,0.095833333,0,81.52658333,6.012772667,1.5
107489_1,D4,CRIOLLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,92,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.68,14.57632653,20.12816327,11.10367347,474.4218776,116233.36,0,826.7,0.102040816,0,81.52159184,5.95357183,1.5
111104_1,D2,CRIOLLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,55,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,26.01403509,15.28245614,20.64824561,10.73157895,484.8642105,82911.78,0,691.5,0.111111111,0,81.98152047,5.704320037,1.19
115467_1,D3,OTRAS,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,2,1,1,15.0675,0,0,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,25.38590308,14.53920705,19.96255507,10.84669604,472.2157269,107192.97,0,751.4,0.0969163,0,81.99361233,5.459407014,1.1
11834_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,115,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.47780698,18.18364746,24.33072722,12.29415952,387.4196979,76321.68049,0.040609137,2780.8,0.45177665,0,74.1109799,9.612112462,3
11880_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,161,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.13275862,18.07126437,24.10201149,12.06149425,377.8330089,65742.94356,0.005747126,2383.4,0.41954023,0,74.98867816,9.369238807,3.5
11894_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,138,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.14318182,18.06647727,24.10482955,12.07670455,377.4088838,66423.96356,0.005681818,2416.8,0.420454545,0,74.95375,9.334950463,3.05
11947_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,161,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.23109399,18.0701125,24.15060324,12.16098149,379.2727638,70165.4613,0.005405405,2547.6,0.427027027,0,74.74197783,9.398544018,3.51
11988_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,161,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.42878465,18.14718206,24.28798335,12.28160259,385.8750379,75631.50744,0.030612245,2762,0.448979592,0,74.21430014,9.545091814,3.51
12016_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,161,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.15,18.10625,24.128125,12.04375,377.9787702,66524.26356,0.005681818,2449.8,0.426136364,0,75.03818182,9.331529906,3.02
12053_1,D4,CRIOLLOAMARILLO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,138,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.14318182,17.98522727,24.06420455,12.15795455,377.4209293,66426.08356,0.005681818,2350.4,0.409090909,0,74.76357955,9.486329727,3.03
12582_1,D4,CRIOLLOAMARILLO,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,73.3647,0.08,0.06,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,28.41924504,18.92734511,23.67329507,9.491899931,272.0407123,45974.88038,0.00591716,1601,0.307692308,0,82.91666758,4.066705631,2.5
81853_1,D4,CRIOLLOAMARILLO,S0,LabCeroMin,2016,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,2,0,1,30.75,0,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.57745902,14.5545082,20.06598361,11.02295082,474.4806557,115773.28,0,775.8,0.090163934,0,81.44233607,5.974468989,1.2
81854_1,D3,CRIOLLOAMARILLO,S0,LabCeroMin,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,170.18,23.46,0,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,25.64409091,14.72318182,20.18363636,10.92090909,476.1876818,104761.29,0,756.6,0.1,0,81.67059091,6.110897678,1
90598_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,101,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.31954887,14.96616541,20.14285714,10.35338346,490.8763158,65286.55,0,480.5,0.090225564,0,82.73150376,5.241106825,1.2
90600_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,110,46,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.276,14.76914286,20.02257143,10.50685714,475.6868,83245.19,0,681.2,0.108571429,0,82.90982857,5.301734424,1.3
90601_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,94,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.19050633,14.78670886,19.98860759,10.40379747,482.3044937,76204.11,0,546.3,0.088607595,0,82.95474684,5.127921159,1.3
90631_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,1,117,34.5,0,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,25.2083871,14.76774194,19.98806452,10.44064516,484.3763871,75078.34,0,536,0.090322581,0,82.86890323,5.117993287,1.25
92968_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,1,105.5,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.96285714,14.59828571,19.78057143,10.36457143,475.7426286,83254.96,0,619.7,0.091428571,0,83.12811429,5.079027125,1.35
92980_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,105.5,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.18350515,14.62268041,19.90309278,10.56082474,473.308299,91821.81,0,688.4,0.097938144,0,82.62969072,5.240566843,1.3
93158_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,124,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.26306818,14.75,20.00653409,10.51306818,476.0113068,83777.99,0,681.2,0.107954545,0,82.90386364,5.287157147,1.3
93440_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,110,46,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,25.61015228,14.84416244,20.22715736,10.76598985,476.6586802,93901.76,0,725.7,0.106598985,0,82.24213198,5.558491438,1.5
95750_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,138,0,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,24.881875,14.12,19.5009375,10.761875,477.358375,76377.34,0,492.6,0.08125,0,82.628375,5.190269426,2.5
95855_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,117,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.81075269,15.04408602,20.42741935,10.76666667,480.3486022,89344.84,0,720.8,0.112903226,0,82.02596774,5.625319054,1.3
95861_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,94,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.8982659,14.46184971,19.6800578,10.43641618,476.0393642,82354.81,0,552.1,0.086705202,0,82.8350289,4.978861786,1.17
95978_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,82,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,25.15661376,14.64814815,19.90238095,10.50846561,473.6834921,89526.18,0,688.4,0.100529101,0,82.68693122,5.289265032,1.2
96130_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,138,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,24.86060606,14.19272727,19.52666667,10.66787879,478.8295152,79006.87,0,502.6,0.078787879,0,82.5970303,5.134101938,2.8
96135_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,138,0,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,24.85859873,14.15414013,19.50636943,10.7044586,477.0540764,74897.49,0,492.6,0.082802548,0,82.70738854,5.188168387,2.5
96140_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,138,0,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,24.85290323,14.1516129,19.50225806,10.70129032,475.5837419,73715.48,0,483.7,0.083870968,0,82.77683871,5.183061793,3
96148_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,1,156,46,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,24.90726257,14.22960894,19.56843575,10.67765363,477.4496648,85463.49,0,544.7,0.083798883,0,82.5122905,5.111091245,2.5
96150_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,138,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.87125,14.138125,19.5046875,10.733125,477.1359375,76341.75,0,492.6,0.08125,0,82.63325,5.187876839,3
